  index  term                      df
    489  apprais                    2
    490  appreci                   16
    491  apprehend                  4
    492  apprehens                  2
    493  apprentic                  3
    494  appris                     1
    495  approach                  49
    496  appropri                  18
    497  approv                    25
    498  approxim                  12
    499  april                     67
    500  aprista                    4
    501  apron                      1
    502  aquil                      2
    503  arab                      61
    504  arabi                      1
    505  arabia                    71
    506  arabian                   44
    507  arafat                    16
    508  arantxa                    3
    509  arazi                      7
    510  arbadi                     1
    511  arbit                      1
    512  arbitrari                  2
    513  arbitrarili                1
    514  arc                        1
    515  arch                       2
    516  archaeolog                 2
    517  archbishop                 4
    518  archer                     1
    519  archeri                    4
    520  archetyp                   1
    521  archi                      5
    522  archibald                  1
    523  architect                  7
    524  architectur                4
    525  arctic                     6
    526  ardent                     4
    527  arduou                     1
    528  area                     186
    529  aren                      16
    530  arena                     22
    531  aretz                      1
    532  argentin                   1
    533  argentina                 10
    534  argu                      45
    535  arguabl                    2
    536  argument                  18
    537  ari                        1
    538  arid                       5
    539  arif                       1
    540  arisen                     1
    541  arithmet                   1
    542  aritomi                    4
    543  ariz                       8
    544  arizona                    7
    545  ark                        8
    546  arkadelphia                1
    547  arkan                      1
    548  arkansa                   28
    549  arkin                      2
    550  arleigh                    3
    551  arlen                      2
    552  arlington                  8
    553  arm                      133
    554  armament                   2
    555  armbrist                   1
    556  armei                      1
    557  armenia                    2
    558  armi                     136
    559  armitag                    1
    560  armor                     17
    561  armori                     3
    562  arn                        3
    563  arnaud                    17
    564  arni                       1
    565  arno                       1
    566  arnold                     3
    567  arnot                      1
    568  aros                       5
    569  arous                      1
    570  arrai                      6
    571  arraign                    2
    572  arrang                    38
    573  arrear                     1
    574  arrest                   109
    575  arriv                    180
    576  arrog                      3
    577  arrow                      4
    578  arsen                     10
    579  arseni                     1
    580  arsonist                   1
    581  art                       10
    582  artfulli                   1
    583  arthriti                   1
    584  arthur                     4
    585  articl                     5
    586  articul                    1
    587  artifact                   1
    588  artifici                   4
    589  artist                     4
    590  artudo                     1
    591  arturo                     6
    592  aruba                      2
    593  aryapov                    1
    594  asa                        1
    595  asahi                      1
    596  ascend                     1
    597  ascrib                     4
    598  asean                      1
    599  ash                        5
    600  asham                      1
    601  ashcroft                  56
    602  ashkroft                   1
    603  ashok                      1
    604  ashor                      2
    605  ashraf                     1
    606  ashtrai                    1
    607  asia                      32
    608  asian                     15
    609  asid                      30
    610  ask                      196
    611  aspect                    11
    612  aspir                      2
    613  assad                      1
    614  assail                     4
    615  assam                      6
    616  assassin                  21
    617  assault                   28
    618  assembl                   19
    619  assert                    17
    620  assess                    48
    621  asset                     10
    622  assign                    24
    623  assist                    76
    624  associ                   119
    625  assort                     1
    626  assum                     38
    627  assumpt                    7
    628  assur                     35
    629  assuredli                  2
    630  astakhov                  12
    631  asterisk                   2
    632  astonish                   7
    633  astound                    2
    634  astronom                   1
    635  astut                      1
    636  asylum                    29
    637  asymmetr                   2
    638  atal                      13
    639  atck                       2
    640  atf                        2
    641  atfein                     1
    642  ath                        1
    643  athal                      1
    644  athlet                     3
    645  atlant                    15
    646  atlanta                    6
    647  atmat                      1
    648  atmospher                 10
    649  atom                       4
    650  atop                      13
    651  atp                        3
    652  atroc                     10
    653  atrophi                    1
    654  attach                    15
    655  attack                   306
    656  attain                     1
    657  attar                      1
    658  attempt                  112
    659  attend                    68
    660  attent                    64
    661  attest                     2
    662  attitud                   10
    663  attornei                  58
    664  attract                   15
    665  attribut                  12
    666  attrit                     1
    667  atwan                      1
    668  aubrei                    19
    669  aubri                      5
    670  audienc                   16
    671  audio                      4
    672  audiotap                   1
    673  auditor                    5
    674  auditorium                 1
    675  aug                       33
    676  augment                    1
    677  august                    32
    678  aunt                       2
    679  aur                        5
    680  aura                       1
    681  aurora                     4
    682  ausi                       1
    683  aussi                      9
    684  auster                     2
    685  austin                    18
    686  australia                 23
    687  australian                72
    688  austria                    3
    689  austrian                   1
    690  austro                     1
    691  authent                    2
    692  author                   255
    693  authoritarian             27
    694  auto                       1
    695  autocrat                  27
    696  autograph                  1
    697  autom                      1
    698  automat                   18
    699  automobil                  4
    700  autonom                    1
    701  autonomi                   3
    702  autopilot                  1
    703  autopsi                    1
    704  autumn                     2
    705  av                         1
    706  avail                     44
    707  avala                      1
    708  avalanch                   1
    709  aveng                      7
    710  avent                      1
    711  avenu                      4
    712  averag                    14
    713  avert                      6
    714  aviat                      3
    715  aviv                       4
    716  avner                      2
    717  avoid                     59
    718  avow                       1
    719  aw                        12
    720  awad                       2
    721  awai                     167
    722  await                     27
    723  awaken                     2
    724  awar                      18
    725  award                      9
    726  aweigh                     1
    727  awfulli                    2
    728  awkward                    4
    729  awn                        4
    730  awok                       1
    731  ax                         1
    732  axam                       1
    733  ay                         2
    734  ayatollah                  1
    735  aykroyd                    1
    736  ayman                      5
    737  aynaoui                    1
    738  ayr                        1
    739  ayyam                      2
    740  az                         1
    741  aziz                       1
    742  azul                       1
    743  azulai                     2
    744  b                         24
    745  ba                         2
    746  babenko                    2
    747  babi                      14
